number,title,classification,timestamp,latitude,longitude,state
637,Report 637: Campers' encounter just after dark in the Wrangell - St. Elias National Park and Preserve,Class A,2000-06-16T12:00:00Z,61.5,-142.9,Alaska
2917,Report 2917: Family observes large biped from car,Class A,1995-05-15T12:00:00Z,55.1872,-132.7982,Alaska
7963,Report 7963: Sasquatch walks past window of house at night,Class A,2004-02-09T12:00:00Z,55.2035,-132.8202,Alaska
9317,"Report 9317: Driver on Alcan Highway has noon, road encounter near Alaska-Canada border",Class A,2004-06-18T12:00:00Z,62.9375,-141.5667,Alaska
13038,"Report 13038: Snowmobiler has encounter in deep snow near Potter, AK",Class A,2004-02-15T12:00:00Z,61.0595,-149.7853,Alaska
23666,Report 23666: Passenger on the Alcan Highway sees a tall bipedal creature walk across the road,Class A,2008-04-23T12:00:00Z,62.77335,-141.3165,Alaska
26604,Report 26604: Daytime sighting of reddish-colored bigfoot near Fairbanks,Class A,2009-07-15T12:00:00Z,64.89139,-147.8142,Alaska
179,"Report 179: Man and witnesses have two seperate sighting, 1st while fishing, 2nd while driving",Class A,1981-09-15T12:00:00Z,32.31435,-85.16235,Alabama
245,"Report 245: Two outdoorsman fishing, loud vocalizations, footsteps heard",Class A,1999-07-15T12:00:00Z,33.28375,-87.32655,Alabama
416,Report 416: A resident's early evening sighting next to his home near New Market,Class A,1983-11-15T12:00:00Z,34.95605,-86.4559,Alabama
435,Report 435: Daylight sighting by husband and wife near home near Valhermosa Springs,Class A,2000-10-10T12:00:00Z,34.5422,-86.66465,Alabama
451,Report 451: Young man has sighting near home,Class A,1993-08-20T12:00:00Z,34.9263,-87.02025,Alabama
577,Report 577: Man has repeated visits at family farm,Class A,1999-11-15T12:00:00Z,34.80405,-87.50905,Alabama
799,"Report 799: Person fishing recounts story of his encounter with a large, bipedal creature that was wading in the water",Class A,1978-04-15T12:00:00Z,34.92855,-87.1105,Alabama
832,"Report 832: Witnesses spot a tall, brown object moving on a hill, also reported are moans and a sighting where red eyes are described",Class A,1980-11-15T12:00:00Z,33.13195,-88.17885,Alabama
961,"Report 961: Motorist confronted by hairy, man-like creature on roadside",Class A,1997-01-06T12:00:00Z,31.4515,-88.08305,Alabama
1022,Report 1022: Hunters observe creature walking in the woods,Class A,1990-09-15T12:00:00Z,33.97575,-87.45876,Alabama
1907,"Report 1907: Motorist sees Bigfoot like creature, hears scream",Class A,1996-12-05T12:00:00Z,31.58255,-87.96095,Alabama
3028,Report 3028: Daylight sighting by lady while her husband was clearing trees,Class A,2000-06-01T12:00:00Z,34.4881,-86.6333,Alabama
3296,Report 3296: Man on his way to work  sees sasquatch crossing road in his headlights,Class A,2001-10-15T12:00:00Z,34.6802,-87.00665,Alabama
4743,Report 4743: Nighttime sighting by two teens in southern Conecuh County,Class A,2000-02-10T12:00:00Z,31.16,-87.09069,Alabama
5954,Report 5954: Daylight sighting at eastern dike of East Lagoon in Aliceville,Class A,2007-09-01T12:00:00Z,33.13,-88.14999,Alabama
6938,Report 6938: Tracks and feces found in freshly turned field,Class A,2003-08-30T12:00:00Z,33.21145,-87.35664,Alabama
7031,Report 7031: Lady sees large hairy creature on the side of the road,Class A,2003-06-28T12:00:00Z,33.26035,-87.31821,Alabama
7235,Report 7235: Recollection of an afternoon sighting on Green Mountain,Class A,2004-05-28T12:00:00Z,34.7325,-86.52105,Alabama
7427,Report 7427: Four youths have harrowing experience in Alabama backwoods.,Class A,2003-11-26T12:00:00Z,32.6218,-85.4258,Alabama
8171,Report 8171: Nighttime Sighting on County Road,Class A,2004-05-09T12:00:00Z,33.3674,-86.64066,Alabama
8679,Report 8679: Adult recalls childhood sighting at dusk near Moody,Class A,2004-09-30T12:00:00Z,33.6205,-86.4664,Alabama
10498,Report 10498: Hiker has daylight sighting near Warrior.,Class A,1979-09-15T12:00:00Z,33.8132,-86.7891,Alabama
14082,Report 14082: Daylight road crossing sighting near Orrville,Class A,2006-09-10T12:00:00Z,32.30673,-87.24547,Alabama
15102,Report 15102: Daylight sighting by hunter near the Alabama / Mississippi border,Class A,2006-07-06T12:00:00Z,31.00002,-86.99782,Alabama
17455,Report 17455: Sighting by duck hunters in swamp area within Tuskegee National Forest,Class A,2007-05-19T12:00:00Z,32.43,-85.705,Alabama
17480,Report 17480: Sighting by a group of campers in Cheaha Mountain State Park,Class A,2007-04-22T12:00:00Z,33.35,-85.625,Alabama
18043,Report 18043: Evening sighting by family driving by Guntersville Lake,Class A,1992-08-15T12:00:00Z,34.27607,-86.17524,Alabama
22539,Report 22539: Roadside Sighting near Moody,Class A,2007-07-18T12:00:00Z,33.59,-86.5,Alabama
24646,Report 24646: Early morning sighting by a fisherman south of Montgomery,Class A,2001-04-13T12:00:00Z,32.184,-86.581,Alabama
25238,Report 25238: Woman recalls encountering a creature while driving through Talladega National Forest,Class A,1999-11-23T12:00:00Z,33.36305,-86.17122,Alabama
25559,Report 25559: Exec on business trip has sighting from balcony of hotel near Huntsville,Class A,2009-02-24T12:00:00Z,34.71139,-86.6575,Alabama
26513,Report 26513: Man recalls a sighting after Hurricane Frederic north of Mobile,Class A,1979-09-14T12:00:00Z,30.7113,-87.91833,Alabama
26886,Report 26886: Daylight sighting while riding ATV on his private property outside Verbena,Class A,2000-05-13T12:00:00Z,32.76967,-86.4891,Alabama
